alimento,-25 a 0,0 a 60,60 a 120,120 a 180
banana,72.74033333333334,102.98008333333333,120.70808333333333,86.2033
fideos,85.1725,112.14699999999999,155.63375,117.5984
kiwi,91.15816666666666,120.55841666666667,136.896,103.617
pan,96.307,100.6465,124.79883333333333,103.08720000000001
